"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","gene","common_name"
372.608381664863,-1.6980907026221,0.303495029867948,-5.59511865272044,2.20470938475661e-08,5.99503037174547e-07,"Downregulated","AT4G13195","CLE44"
1458.60122843001,-0.805145363958293,0.209927628619444,-3.83534730160677,0.000125386988085503,0.00116792101154726,"Downregulated","AT3G24770","CLE41"
51.5552548145004,-1.27721774131803,0.574332959680536,-2.22382804223611,0.026160015923855,0.0898484844437085,"Non-significant","AT1G68795","CLE12"
75.3788244266049,1.26204148400925,0.71548106707884,1.76390619134326,0.077747774305551,0.200708225728224,"Non-significant","AT1G26600","CLE9"
121.364341564242,-0.676320203487615,0.406672981737212,-1.6630566422154,0.0963010978145556,0.234453024214601,"Non-significant","AT1G69588","CLE45"
81.6315658178801,-0.789890414872627,0.499285879373386,-1.5820403650589,0.113640355979287,0.263592769892421,"Non-significant","AT2G34925","CLE42"
141.91552191652,0.685207152139829,0.485026986987995,1.41271964348818,0.157738173458672,0.330938271366596,"Non-significant","AT1G70895","CLE17"
46.635633874654,-0.968626351177978,0.74093243515593,-1.30730725936452,0.191108379750603,0.37655372967849,"Non-significant","AT3G25905","CLE27"
471.157900119548,-0.5382056891617,0.416009558323055,-1.29373395008331,0.195757334198072,0.382617766147242,"Non-significant","AT3G28455","CLE25"
91.4401944137376,0.760131385970752,0.616323778816052,1.23333126531472,0.217452197665949,0.409375636220497,"Non-significant","AT2G01505","CLE16"
27.1078953844801,1.0609362815931,0.937976354642024,1.13109064673384,0.258016940629297,0.454385442727819,"Non-significant","AT1G25425","CLE43"
14.8790382086254,-0.96986367579734,1.12899066099853,-0.859053763066165,0.390310855043227,0.590998497505342,"Non-significant","AT5G64800","CLE21"
21.6150011627995,0.965028721483265,1.14498118941184,0.842833690550831,0.399321462856941,0.599607411558342,"Non-significant","AT3G24225","CLE19"
16.7185096959854,0.966475754279804,1.16940505060408,0.82646791527072,0.408538711318963,0.608246522972196,"Non-significant","AT5G12990","CLE40"
141.657646663833,-0.36404904618357,0.450113712267668,-0.808793503200546,0.418633933820537,0.617378586457008,"Non-significant","AT1G69970","CLE26"
22.843636080869,0.565866868302612,0.81960599498696,0.690413286095614,0.489934323946323,0.681953353109388,"Non-significant","AT1G69320","CLE10"
5.43125029123552,-1.1368579895857,2.12542808594617,-0.53488424148663,0.592729905836689,0.761527215686203,"Non-significant","AT1G73965","CLE13"
12.4301406560168,0.597724780148656,1.14226791379791,0.523278972409625,0.600780131782475,0.768096897029007,"Non-significant","AT4G18510","CLE2"
32.6263114055153,0.355674222355288,0.720016080831,0.493980942682265,0.62131963846494,0.78288670511759,"Non-significant","AT1G05065","CLE20"
3.73591929182029,0.855811514918329,2.78056722307523,0.307783069517674,0.758247405205142,0.87144685126825,"Non-significant","AT2G31083","CLE5"
31.8504008142846,0.175913825908834,0.763983831985725,0.23025857163967,0.817890850746033,0.905479215173482,"Non-significant","AT5G12235","CLE22"
0.490560726043525,-2.83734503324173,4.00676920952851,-0.708137874897868,0.478859641274956,NA,"Non-significant","AT1G73165","CLE1"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G06225","CLE3"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G49005","CLE11"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G63245","CLE14"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G66145","CLE18"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G67775","CLE8"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G27250","CLV3"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31081","CLE4"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31082","CLE7"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31085","CLE6"
