"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","gene","common_name"
95.9168403770083,-1.42194939433422,0.498976092241336,-2.8497345192372,0.00437557346533859,0.0304593410162416,"Downregulated","AT1G70895","CLE17"
4.8049677780618,0.175990795829764,1.54698127451509,0.113764011710438,0.909424867821012,0.970767864311348,"Non-significant","AT1G26600","CLE9"
2.08811486815143,-4.26157376404363,2.87794866124664,-1.48076781960302,0.138668454584709,NA,"Non-significant","AT4G18510","CLE2"
1.67631964054912,-3.94611278951196,3.09450044331721,-1.27520188211117,0.202237795316516,NA,"Non-significant","AT1G73965","CLE13"
0.322529820644009,-1.53802288874619,4.02300174474494,-0.382307288520379,0.702233449110284,NA,"Non-significant","AT3G24225","CLE19"
0.157138010282181,1.49163971872106,4.0804728567969,0.365555603742448,0.7146967084525,NA,"Non-significant","AT1G63245","CLE14"
0.838923985567436,0.19331261558878,3.9424572594463,0.0490335348913662,0.960892571093517,NA,"Non-significant","AT2G31083","CLE5"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G05065","CLE20"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G06225","CLE3"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G25425","CLE43"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G49005","CLE11"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G66145","CLE18"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G67775","CLE8"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G68795","CLE12"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G69320","CLE10"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G69588","CLE45"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G69970","CLE26"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G73165","CLE1"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G01505","CLE16"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G27250","CLV3"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31081","CLE4"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31082","CLE7"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G31085","CLE6"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G34925","CLE42"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G24770","CLE41"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G25905","CLE27"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G28455","CLE25"
0,NA,NA,NA,NA,NA,"Non-significant","AT4G13195","CLE44"
0,NA,NA,NA,NA,NA,"Non-significant","AT5G12235","CLE22"
0,NA,NA,NA,NA,NA,"Non-significant","AT5G12990","CLE40"
0,NA,NA,NA,NA,NA,"Non-significant","AT5G64800","CLE21"
