"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","gene","common_name"
119.982097992561,-4.35628866915136,0.529625079090967,-8.2252310948499,1.94814871611363e-16,1.20840655525113e-14,"Downregulated","AT2G32835","RALF16"
927.100322781178,-2.01252756235502,0.296478431344477,-6.78810783377585,1.13613722471127e-11,4.24909752741892e-10,"Downregulated","AT2G32785","RALF36"
819.686076377162,-1.47155808582351,0.26084051958576,-5.64160080711575,1.68476351931768e-08,4.02943676195431e-07,"Downregulated","AT1G60815","RALF7"
6053.95679327185,-1.1883848556056,0.21146344830643,-5.6198121477879,1.91165199048324e-08,4.50152742635553e-07,"Downregulated","AT2G19045","RALF13"
379.348714100515,-1.40647865115718,0.389674395095468,-3.6093689214879,0.000306942824527254,0.00316035125469728,"Downregulated","AT1G60625","RALF6"
28.0677102286147,1.47595703775988,0.708620508358536,2.0828596129384,0.0372640218766903,0.16067016383623,"Non-significant","AT4G15800","RALF33"
7.27386354141989,2.76555868691848,1.37440138089802,2.01219143501696,0.0441997610159688,0.18101023975917,"Non-significant","AT2G34825","RALF20"
4006.1690610604,0.288897063282591,0.174378561790375,1.65672351186083,0.0975753872114317,0.305680254852434,"Non-significant","AT4G13075","RALF30"
177957.707917607,-0.214732670958559,0.193392226957063,-1.11034799245698,0.266849099816414,0.563421947433051,"Non-significant","AT2G33775","RALF19"
15.5314278386718,-0.878897211774662,0.9210005675373,-0.954285201066466,0.339939296982646,0.640149788060989,"Non-significant","AT2G33130","RALF18"
8032.98491711612,-0.15565540546422,0.195486893029531,-0.796244715192779,0.425889812112718,0.712727861705195,"Non-significant","AT3G25165","RALF25"
49.4414585225247,-0.45025113945109,0.567463699839041,-0.793444831059328,0.427518699921147,0.713880323221581,"Non-significant","AT2G32885","RALF17"
170980.227869576,0.107719957768669,0.146264027433338,0.736476081364328,0.461441018564006,0.742446912032894,"Non-significant","AT1G61566","RALF9"
24241.0960690494,-0.0821107210541106,0.139169620463482,-0.590004634493176,0.555187542424606,0.808032514603041,"Non-significant","AT3G25170","RALF26"
62981.7176387705,0.0429359922505122,0.143828631110667,0.298521872307022,0.765304885015806,0.919304509571756,"Non-significant","AT2G22055","RALF15"
194832.621244105,-0.00919034286837062,0.138407156874491,-0.0664007777914584,0.947058750983336,0.984171888783948,"Non-significant","AT1G61563","RALF8"
95520.9248268183,0.00116455676097239,0.184192602101781,0.006322494756488,0.994955412656735,0.999018252005666,"Non-significant","AT1G28270","RALF4"
0.489849860630959,-2.14733208428982,3.98349888536642,-0.539056780504733,0.589847676142374,NA,"Non-significant","AT1G23147","RALF3"
1.94909790891965,-1.79432574921106,2.54426159937615,-0.705244205097083,0.480658275986541,NA,"Non-significant","AT2G19020","RALF10"
0.285961609869737,-1.44785859223422,4.03033783360413,-0.359240007168202,0.719415550024029,NA,"Non-significant","AT3G04735","RALF21"
2.2689901931233,1.21146724874503,3.12067369490087,0.388206960158811,0.697862882843184,NA,"Non-significant","AT4G13950","RALF31"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G02900","RALF1"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G23145","RALF2"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G35467","RALF5"
0,NA,NA,NA,NA,NA,"Non-significant","AT1G60913","RALF35"
0,NA,NA,NA,NA,NA,"Non-significant","AT2G20660","RALF14"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G05490","RALF22"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G16570","RALF23"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G23805","RALF24"
0,NA,NA,NA,NA,NA,"Non-significant","AT3G29780","RALF27"
0,NA,NA,NA,NA,NA,"Non-significant","AT4G11510","RALF28"
0,NA,NA,NA,NA,NA,"Non-significant","AT4G11653","RALF29"
0,NA,NA,NA,NA,NA,"Non-significant","AT4G14010","RALF32"
0,NA,NA,NA,NA,NA,"Non-significant","AT5G67070","RALF34"
